Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,WasBatched,DwmNotified,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.173599,6.799,16.877,1.614,1.601,39.789
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.177875,4.276,16.481,0.444,0.441,51.995
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.178827,0.952,16.667,2.930,18.297,67.710
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.182353,3.526,16.663,14.549,31.854,80.847
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.198546,16.194,16.732,15.248,31.965,81.385
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.231538,32.992,16.624,0.653,15.660,65.017
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.232881,1.343,16.715,14.529,30.960,80.389
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.249374,16.493,16.690,14.149,31.188,80.586
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.263903,14.529,16.770,16.431,33.343,82.828
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.280791,16.888,16.668,16.570,33.174,82.607
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.297728,16.937,16.590,15.874,32.831,82.260
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.314113,16.385,16.665,16.540,33.386,82.540
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.330878,16.765,16.671,16.212,33.279,82.446
TrivFlip12.exe,23816,0x00000274F86D4280,DXGI,1,0,0,Composed: Flip,0,1,0,6.350841,19.964,16.686,12.993,29.697,79.168
